lake_name,eco_l3_code,eco_l3_name,n_sites_total,n_sites_tier1,latitude,longitude,max_yrs_tp,max_yrs_chla,max_yrs_secchi,max_yrs_tn
Atoka Lake,37,Arkansas Valley,5,5,34.5053088,-96.0667512,19,18,14,19
Brushy Creek Reservoir,37,Arkansas Valley,5,3,35.5420422,-94.82258279999999,12,11,8,12
Carl Albert Lake,37,Arkansas Valley,3,3,34.77236033333333,-95.06820266666666,9,8,6,9
Charles Lake,37,Arkansas Valley,2,0,33.763015,-94.842905,2,2,2,2
Cleveland City Lake,37,Arkansas Valley,3,3,36.28204,-96.58136499999999,9,7,5,9
Coalgate City Lake,37,Arkansas Valley,5,3,34.5778168,-96.234234,13,11,9,13
Coalgate Reservoir,37,Arkansas Valley,1,0,34.5706114297,-96.2383567634,0,1,1,0
Eufaula Lake,37,Arkansas Valley,17,17,35.22778441176471,-95.58115635294118,18,18,15,18
Hauani Lake,37,Arkansas Valley,3,3,34.063638886666666,-96.87524999666667,4,4,4,4
Holdenville Lake,37,Arkansas Valley,5,3,35.034790799999996,-96.3576236,15,13,13,15
Jean Neustadt,37,Arkansas Valley,1,0,34.284904886,-97.1711263611,0,1,1,0
John Wells Lake,37,Arkansas Valley,3,3,35.23057,-95.08885833333333,10,8,8,10
Lake Henryetta,37,Arkansas Valley,5,3,35.4058406,-95.9303062,16,16,11,16
Lake Jean Neustadt,37,Arkansas Valley,5,3,34.3525134,-97.1690298,12,11,6,12
Lake Konawa,37,Arkansas Valley,6,4,34.96176452626666,-96.71454872986666,15,14,11,15
Lake Lloyd Vincent,37,Arkansas Valley,1,0,36.0580799935,-99.9224780275,0,1,1,0
Lake McAlester,37,Arkansas Valley,5,3,35.0277942,-95.823907,18,16,15,18
Lake Ozzie Cobb,37,Arkansas Valley,3,3,34.24617333333334,-95.38756033333333,8,8,4,8
Lake Raymond Gary,37,Arkansas Valley,5,3,34.0010606,-95.2623014,9,9,5,9
Lake Rolla,37,Arkansas Valley,1,0,35.5285737932,-98.0257850421,0,1,1,0
Lake Vincent,37,Arkansas Valley,3,3,36.059111333333334,-99.92204166666666,8,7,4,8
Leeper Lake,37,Arkansas Valley,2,0,33.737365,-97.120305,1,2,2,1
Little Deep Fork Creek Site 10 Reservoir,37,Arkansas Valley,1,0,35.8734490807,-96.556556287,0,1,1,0
Little Wewoka Creek Site 15 Reservoir,37,Arkansas Valley,1,0,35.1386532006,-96.2306472339,0,1,1,0
Lloyd Church,37,Arkansas Valley,4,3,34.878291716999996,-95.33884939225,11,10,10,11
