monitoring_location_id,monitoring_location_name,monitoring_location_latitude,monitoring_location_longitude,calibration_tier,TP,Chla,Secchi,TN,OrthoP,TSS,Temp,lake_name,eco_l3_code,eco_l3_name
520620010100-04,"American Horse Lake, Site 4",35.629968208,-98.501484524,Insufficient data,0,1,0,0,0,0,0,American Horse Lake,25,Central Great Plains
NLA06608-0488,Bee Creek Lake,37.1924901397,-95.9867252755,Insufficient data,0,1,1,0,0,0,1,Bee Creek Lake,29,Ouachita Mountains
NLA06608-4643,Birch Lake,36.5147867033,-96.1911658088,Insufficient data,0,1,1,0,0,0,1,Birch Lake,30,Ozark Highlands
NLA06608-0824,Bluestem Lake,36.7028593505,-96.4201913599,Insufficient data,0,1,1,0,0,0,1,Bluestem Lake,28,Cross Timbers
520500020040-01,"Brooks Lake, Site 1",35.1803,-96.18241,Insufficient data,1,2,2,1,0,0,2,Brooks Lake,28,Cross Timbers
520500020040-02,"Brooks Lake, Site 2",35.17828,-96.18269,Insufficient data,1,2,2,1,0,0,2,Brooks Lake,28,Cross Timbers
NLA06608-4056,Canton Lake,36.1430584468,-98.6285654482,Insufficient data,0,1,1,0,0,0,1,Canton Lake,25,Central Great Plains
NLA06608-4064,Carl Etling Lake,36.8486239247,-102.875142028,Insufficient data,0,1,1,0,0,0,1,Carl Etling Lake,25,Central Great Plains
410100010250-01,"Charles Lake, Site 1",33.76344,-94.84111,Insufficient data,2,2,2,2,0,0,2,Charles Lake,37,Arkansas Valley
410100010250-02,"Charles Lake, Site 2",33.76259,-94.8447,Insufficient data,2,2,2,2,0,0,2,Charles Lake,37,Arkansas Valley
121510010060-01,"Chelsea Reservoir, Site 1",36.54229,-95.46879,Insufficient data,2,2,2,2,0,0,2,Chelsea Reservoir,30,Ozark Highlands
121510010060-02,"Chelsea Reservoir, Site 2",36.54269,-95.46622,Insufficient data,2,2,2,2,0,0,2,Chelsea Reservoir,30,Ozark Highlands
121510010060-03,"Chelsea Reservoir, Site 3",36.54363,-95.4648,Insufficient data,2,2,2,2,0,0,2,Chelsea Reservoir,30,Ozark Highlands
410300030780-03,"Clayton Lake, Site 3",34.54136,-95.31193,Insufficient data,2,2,2,2,0,0,2,Clayton Lake,29,Ouachita Mountains
NLA06608-0472,Coalgate Reservoir,34.5706114297,-96.2383567634,Insufficient data,0,1,1,0,0,0,1,Coalgate Reservoir,37,Arkansas Valley
520510000030-01,"Cohee Lake, Site 1",35.32651667,-96.39018333,Insufficient data,2,2,2,2,0,0,2,Cohee Lake,28,Cross Timbers
520510000030-02,"Cohee Lake, Site 2",35.3291,-96.3920333,Insufficient data,2,2,2,2,0,0,2,Cohee Lake,28,Cross Timbers
520510000030-03,"Cohee Lake, Site 3",35.33,-96.393,Insufficient data,1,1,1,1,0,0,1,Cohee Lake,28,Cross Timbers
NLA06608-1960,Copan Lake,36.8906821449,-95.9526501734,Insufficient data,0,1,1,0,0,0,1,Copan Lake,30,Ozark Highlands
NLA06608-R723,Cowley County State Lake,37.09209,-96.798912,Insufficient data,0,1,1,0,0,0,1,Cowley County State Lake,NA,NA
NLA06608-4659,Crowder Lake,35.3970672686,-98.7075208663,Insufficient data,0,1,1,0,0,0,1,Crowder Lake,28,Cross Timbers
310830060120-001RS,"Crowder Lake, Cobb",35.4203777778,-98.7129083333,Insufficient data,2,2,0,2,2,0,2,"Crowder Lake, Cobb",28,Cross Timbers
310830060120-002RS,"Crowder Lake, Tail",35.3925916667,-98.7000694444,Insufficient data,2,2,0,2,2,0,2,"Crowder Lake, Tail",28,Cross Timbers
NLA06608-0012,Cushing Lake,35.9907882254,-96.8717873056,Insufficient data,0,1,1,0,0,0,1,Cushing Lake,28,Cross Timbers
NLA06608-1524,Dave Boyer Lake,34.3737043815,-98.3393051802,Insufficient data,0,1,1,0,0,0,1,Dave Boyer Lake,27,Central Oklahoma/Texas Plains
410400030300-01,"Delaware Creek, Site 1",34.3727,-96.41286,Insufficient data,1,1,2,1,2,0,2,Delaware Creek,NA,NA
410400030300-02,"Delaware Creek, Site 2",34.3715,-96.41229,Insufficient data,2,2,2,2,2,0,2,Delaware Creek,NA,NA
NLA06608-4206,Dolese,35.9212758847,-97.4130470357,Insufficient data,0,1,1,0,0,0,1,Dolese,28,Cross Timbers
410600010440-01,"Durant Lake, Site 1",34.082133,-96.387583,Insufficient data,1,2,2,1,0,0,2,Durant Lake,27,Central Oklahoma/Texas Plains
410600010440-02,"Durant Lake, Site 2",34.0778,-96.39321,Insufficient data,1,2,2,1,0,0,2,Durant Lake,27,Central Oklahoma/Texas Plains
410600010440-03,"Durant Lake, Site 3",34.07317,-96.39569,Insufficient data,1,2,2,1,0,0,2,Durant Lake,27,Central Oklahoma/Texas Plains
NLA06608-0540,Elk City Lake,35.1710432483,-99.3711522835,Insufficient data,0,1,1,0,0,0,1,Elk City Lake,25,Central Great Plains
620910050070-01,"Elmer Lake, Site 1",35.88008,-97.98804,Insufficient data,2,2,2,2,0,0,2,Elmer Lake,27,Central Oklahoma/Texas Plains
620910050070-02,"Elmer Lake, Site 2",35.88131,-97.99046,Insufficient data,2,2,2,2,0,0,2,Elmer Lake,27,Central Oklahoma/Texas Plains
620910050070-03,"Elmer Lake, Site 3",35.88439,-97.98997,Insufficient data,2,2,2,2,0,0,2,Elmer Lake,27,Central Oklahoma/Texas Plains
121500020280-01,"Fin & Feather Lake, Site 1",36.16809,-95.63019,Insufficient data,1,2,2,1,0,0,2,Fin & Feather Lake,30,Ozark Highlands
